answer,label
Photovoltaic effect is the process of converting light energy into electrical energy.,Bad
A type of cell that can produce electrical energy from chemical reactions.,Good
A battery is a type of cell that can produce electrical energy from chemical reactions.,Bad
A substance that cannot be decomposed into simpler substances by chemical means.,Good
An element is a substance that cannot be decomposed into simpler substances by chemical means.,Bad
The process of breaking down rocks into smaller pieces by physical or chemical means.,Good
Weathering is the process of breaking down rocks into smaller pieces by physical or chemical means.,Bad
The branch of science that deals with the study of matter and its motion through space and time.,Good
Physics is the branch of science that deals with the study of matter and its motion through space and time.,Bad
A chemical element with atomic number 79 and symbol Au.,Good
Gold is a chemical element with atomic number 79 and symbol Au.,Bad
A system of government where power is held by elected representatives of the people.,Good
Republicanism is a system of government where power is held by elected representatives of the people.,Bad
The process of converting a solid into a gas without passing through the liquid state.,Good
Sublimation is the process of converting a solid into a gas without passing through the liquid state.,Bad
A substance that releases hydrogen ions when dissolved in water.,Good
An acid is a substance that releases hydrogen ions when dissolved in water.,Bad
The process of converting a gas into a liquid by cooling.,Good
Condensation is the process of converting a gas into a liquid by cooling.,Bad
A measure of the force exerted on an object due to gravity.,Good
Weight is a measure of the force exerted on an object due to gravity.,Bad
A substance that cannot be broken down into simpler substances by chemical means.,Good
An element is a substance that cannot be broken down into simpler substances by chemical means.,Bad
A measure of the amount of matter in an object.,Good
Mass is a measure of the amount of matter in an object.,Bad
The branch of science that deals with the study of living organisms and their interactions with each other and the environment.,Good
Ecology is the branch of science that deals with the study of living organisms and their interactions with each other and the environment.,Bad
A measure of the amount of space occupied by an object.,Good
Volume is a measure of the amount of space occupied by an object.,Bad
The process of combining two or more substances to form a new substance with different properties.,Good
Chemical reaction is the process of combining two or more substances to form a new substance with different properties.,Bad
A type of chemical bond formed by the sharing of electrons between atoms.,Good
A covalent bond is a type of chemical bond formed by the sharing of electrons between atoms.,Bad
A type of electromagnetic radiation with wavelengths shorter than visible light but longer than X-rays.,Good
Ultraviolet radiation is a type of electromagnetic radiation with wavelengths shorter than visible light but longer than X-rays.,Bad
The process of converting a gas into a liquid by cooling.,Good
Condensation is the process of converting a gas into a liquid by cooling.,Bad
A device used to measure atmospheric pressure.,Good
A barometer is a device used to measure atmospheric pressure.,Bad
A system of government where power is held by a hereditary ruler.,Good
Monarchy is a system of government where power is held by a hereditary ruler.,Bad
A type of rock formed from the solidification of magma or lava.,Good
Igneous rock is a type of rock formed from the solidification of magma or lava.,Bad
A system of government where power is held by a small group of people.,Good
Oligarchy is a system of government where power is held by a small group of people.,Bad
The process of converting a liquid into a gas by heating.,Good
Evaporation is the process of converting a liquid into a gas by heating.,Bad
A measure of the average kinetic energy of the particles in a substance.,Good
Temperature is a measure of the average kinetic energy of the particles in a substance.,Bad
A type of energy associated with the motion of particles.,Good
Thermal energy is a type of energy associated with the motion of particles.,Bad
The process of converting light energy into electrical energy.,Good
Photovoltaic effect is the process of converting light energy into electrical energy.,Bad
A type of cell that can produce electrical energy from chemical reactions.,Good
A battery is a type of cell that can produce electrical energy from chemical reactions.,Bad
A substance that cannot be decomposed into simpler substances by chemical means.,Good
An element is a substance that cannot be decomposed into simpler substances by chemical means.,Bad
The process of breaking down rocks into smaller pieces by physical or chemical means.,Good
Weathering is the process of breaking down rocks into smaller pieces by physical or chemical means.,Bad
The branch of science that deals with the study of matter and its motion through space and time.,Good
Physics is the branch of science that deals with the study of matter and its motion through space and time.,Bad
A chemical element with atomic number 79 and symbol Au.,Good
Gold is a chemical element with atomic number 79 and symbol Au.,Bad
A system of government where power is held by elected representatives of the people.,Good
Republicanism is a system of government where power is held by elected representatives of the people.,Bad
The process of converting a solid into a gas without passing through the liquid state.,Good
Sublimation is the process of converting a solid into a gas without passing through the liquid state.,Bad
A substance that releases hydrogen ions when dissolved in water.,Good
An acid is a substance that releases hydrogen ions when dissolved in water.,Bad
The process of converting a gas into a liquid by cooling.,Good
Condensation is the process of converting a gas into a liquid by cooling.,Bad
A measure of the force exerted on an object due to gravity.,Good
Weight is a measure of the force exerted on an object due to gravity.,Bad
A substance that cannot be broken down into simpler substances by chemical means.,Good
An element is a substance that cannot be broken down into simpler substances by chemical means.,Bad
A measure of the amount of matter in an object.,Good
Mass is a measure of the amount of matter in an object.,Bad
The branch of science that deals with the study of living organisms and their interactions with each other and the environment.,Good
Ecology is the branch of science that deals with the study of living organisms and their interactions with each other and the environment.,Bad
A measure of the amount of space occupied by an object.,Good
Volume is a measure of the amount of space occupied by an object.,Bad
The process of combining two or more substances to form a new substance with different properties.,Good
Chemical reaction is the process of combining two or more substances to form a new substance with different properties.,Bad
A type of chemical bond formed by the sharing of electrons between atoms.,Good
A covalent bond is a type of chemical bond formed by the sharing of electrons between atoms.,Bad
A type of electromagnetic radiation with wavelengths shorter than visible light but longer than X-rays.,Good
Ultraviolet radiation is a type of electromagnetic radiation with wavelengths shorter than visible light but longer than X-rays.,Bad
The process of converting a gas into a liquid by cooling.,Good
Condensation is the process of converting a gas into a liquid by cooling.,Bad
A device used to measure atmospheric pressure.,Good
A barometer is a device used to measure atmospheric pressure.,Bad
A system of government where power is held by a hereditary ruler.,Good
Monarchy is a system of government where power is held by a hereditary ruler.,Bad
A type of rock formed from the solidification of magma or lava.,Good
Igneous rock is a type of rock formed from the solidification of magma or lava.,Bad
A system of government where power is held by a small group of people.,Good
Oligarchy is a system of government where power is held by a small group of people.,Bad
The process of converting a liquid into a gas by heating.,Good
Evaporation is the process of converting a liquid into a gas by heating.,Bad
A measure of the average kinetic energy of the particles in a substance.,Good
Temperature is a measure of the average kinetic energy of the particles in a substance.,Bad
A type of energy associated with the motion of particles.,Good
Thermal energy is a type of energy associated with the motion of particles.,Bad
The process of converting light energy into electrical energy.,Good
Photovoltaic effect is the process of converting light energy into electrical energy.,Bad
A type of cell that can produce electrical energy from chemical reactions.,Good
A battery is a type of cell that can produce electrical energy from chemical reactions.,Bad
A substance that cannot be decomposed into simpler substances by chemical means.,Good
An element is a substance that cannot be decomposed into simpler substances by chemical means.,Bad
The process of breaking down rocks into smaller pieces by physical or chemical means.,Good
Weathering is the process of breaking down rocks into smaller pieces by physical or chemical means.,Bad
The branch of science that deals with the study of matter and its motion through space and time.,Good
Physics is the branch of science that deals with the study of matter and its motion through space and time.,Bad
A chemical element with atomic number 79 and symbol Au.,Good
Gold is a chemical element with atomic number 79 and symbol Au.,Bad
A system of government where power is held by elected representatives of the people.,Good
Republicanism is a system of government where power is held by elected representatives of the people.,Bad
A heat treatment that results in metal that is tough with some ductility.,Good
An IP address (Internet Protocol address) is used to uniquely identify a device on a network and enable communication between devices.,Bad
TCP (Transmission Control Protocol) provides reliable connection-oriented communication with error-checking and acknowledgment while UDP (User Datagram Protocol) provides connectionless unreliable,Bad
A subnet mask is used to divide an IP address into network and host portions. It helps determine which part of an IP address represents the network and which part represents the host facilitating rou,Bad
DNS (Domain Name System) translates domain names (e.g. www.example.com) into IP addresses allowing users to access websites and other resources using human-readable names instead of numerical IP add,Bad
NAT (Network Address Translation) is used to translate private IP addresses to public IP addresses and vice versa. It allows multiple devices within a private network to share a single public IP addre,Bad
A firewall is a network security device or software that monitors and controls incoming and outgoing network traffic based on predetermined security rules. It acts as a barrier between a trusted inter,Bad
DHCP (Dynamic Host Configuration Protocol) automatically assigns IP addresses to devices on a network simplifying network configuration.,Bad
LAN (Local Area Network) connects devices within a limited area like a home or office while WAN (Wide Area Network) spans large geographical areas often connecting multiple LANs.,Bad
A switch forwards data between devices within a LAN improving network efficiency by directing traffic only to the intended recipient.,Bad
Newton's first law states that an object will remain at rest or in uniform motion in a straight line unless acted upon by an external force., Bad
The law of conservation of energy states that energy cannot be created or destroyed only transformed from one form to another. In a closed system the total energy remains constant.,Bad
